126,246
130,279
134,312
140,345
153,374
175,397
202,414
231,427
264,430
295,426
322,412
345,394
362,370
371,340
376,310
381,279
384,249
162,209
176,190
198,180
222,181
244,190
284,192
307,185
330,185
350,196
362,215
265,228
266,247
267,266
268,285
240,308
253,310
265,313
277,311
288,309
187,233
201,222
218,223
231,237
217,239
199,238
295,239
309,226
325,226
338,238
326,242
309,242
216,348
237,337
254,331
264,333
274,331
289,339
306,350
289,356
275,358
263,358
252,357
237,355
224,347
253,342
264,343
274,343
299,349
274,344
264,344
253,343
