129,217
127,253
128,289
132,326
147,359
172,387
199,410
226,429
255,435
283,429
305,405
328,383
348,359
365,332
378,304
383,274
385,244
161,188
185,179
211,181
236,188
260,199
304,201
326,194
349,191
370,194
383,208
281,231
279,256
278,281
277,306
241,313
256,319
271,325
285,323
298,320
188,217
205,211
223,214
239,230
220,228
202,226
309,237
326,224
344,225
357,235
345,240
327,239
193,332
223,335
251,338
266,343
282,342
302,345
321,346
298,373
277,385
260,385
243,381
217,364
200,336
249,346
265,350
281,349
312,349
279,369
262,370
246,365
